customer_id,tenure_months,contract_type,plan_tier,payment_method,monthly_spend,logins_per_week,last_login_days,active_campaigns,support_tickets_90d,discount_pct,price_increase_recent,has_account_manager,nps_score,churn
SMB-00000,7,Annual,Pro,Credit card,546.28,3.2,23,5,1,0.0,1,0,28.0,1
SMB-00001,56,Annual,Starter,Credit card,181.84,4.7,30,5,1,10.9,1,0,48.0,0
SMB-00002,48,Month-to-month,Growth,Credit card,346.61,6.2,6,1,1,21.6,1,0,29.0,1
SMB-00003,32,Annual,Starter,PayPal,102.83,0.0,0,2,1,0.6,0,1,7.0,0
SMB-00004,32,Month-to-month,Starter,Bank transfer,168.51,5.7,2,1,1,17.5,1,0,74.0,1
SMB-00005,62,Annual,Pro,Credit card,1149.49,2.4,19,2,2,17.5,1,0,58.0,0
SMB-00006,7,Annual,Starter,Credit card,128.48,1.8,27,6,3,6.4,0,1,9.0,0
SMB-00007,51,Month-to-month,Growth,Manual invoice,460.59,4.6,0,4,0,0.0,0,0,87.0,0
SMB-00008,15,Month-to-month,Growth,Credit card,284.7,5.9,1,2,1,11.8,1,0,15.0,0
SMB-00009,7,Annual,Starter,Credit card,117.6,4.3,11,1,0,7.6,0,1,21.0,0
SMB-00010,38,Month-to-month,Growth,Credit card,525.25,2.1,0,3,0,7.0,0,0,-24.0,0
SMB-00011,71,Two-year,Growth,Credit card,320.82,4.3,17,2,1,12.2,0,0,39.0,0
SMB-00012,53,Annual,Pro,PayPal,701.21,2.9,5,5,0,8.2,0,0,97.0,0
SMB-00013,55,Annual,Starter,PayPal,122.38,5.8,2,5,1,0.0,0,0,96.0,0
SMB-00014,52,Month-to-month,Enterprise,Credit card,2462.02,6.9,18,5,0,7.4,0,1,17.0,0
SMB-00015,57,Annual,Pro,PayPal,1058.16,6.7,14,1,2,10.3,0,0,11.0,0
SMB-00016,37,Two-year,Growth,Credit card,269.25,4.5,2,1,1,11.1,0,0,31.0,0
SMB-00017,10,Month-to-month,Growth,PayPal,200.9,7.0,5,0,1,15.8,0,1,80.0,0
SMB-00018,61,Month-to-month,Pro,Credit card,1133.09,2.3,6,4,1,0.0,0,1,37.0,0
SMB-00019,33,Month-to-month,Pro,Credit card,686.53,8.4,6,1,1,14.2,0,1,58.0,0
SMB-00020,37,Month-to-month,Starter,PayPal,103.03,2.2,8,3,1,5.8,1,0,54.0,1
SMB-00021,27,Annual,Enterprise,Manual invoice,1390.5,0.0,9,5,1,9.2,0,0,70.0,0
SMB-00022,14,Month-to-month,Enterprise,PayPal,3099.36,7.5,7,6,0,13.3,0,1,60.0,0
SMB-00023,67,Annual,Growth,Bank transfer,414.78,2.9,25,5,1,3.6,0,0,8.0,0
SMB-00024,57,Month-to-month,Pro,PayPal,972.57,4.8,4,2,4,5.8,0,0,35.0,1
SMB-00025,47,Month-to-month,Growth,PayPal,409.95,2.2,3,1,2,11.5,0,1,14.0,0
SMB-00026,29,Month-to-month,Pro,Credit card,537.73,9.7,1,0,1,4.6,0,0,63.0,0
SMB-00027,60,Two-year,Pro,Bank transfer,703.52,8.5,2,4,1,10.1,0,0,48.0,0
SMB-00028,40,Annual,Starter,Bank transfer,107.19,7.9,4,3,1,1.7,0,0,50.0,0
SMB-00029,32,Month-to-month,Starter,Bank transfer,99.51,4.7,27,6,0,15.4,0,0,43.0,0
SMB-00030,33,Annual,Starter,PayPal,112.12,6.7,10,3,1,12.6,0,0,-23.0,0
SMB-00031,17,Month-to-month,Enterprise,Bank transfer,2552.36,4.4,0,6,0,3.5,0,0,50.0,0
SMB-00032,7,Month-to-month,Growth,Credit card,488.72,7.0,8,3,2,14.7,0,0,-14.0,1
SMB-00033,40,Month-to-month,Pro,Credit card,621.63,3.6,2,7,0,10.6,1,0,-5.0,0
SMB-00034,64,Two-year,Growth,PayPal,379.16,8.0,22,0,3,2.4,1,1,69.0,0
